,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
0,73.9,185.0,99.7,0.9,0.0,2.4,6.9,73.1
1,86.0,172.0,105.4,1.8,8.1,0.4,4.2,85.0
2,83.3,176.0,111.4,1.1,0.8,4.6,7.5,81.6
3,82.8,164.0,111.4,4.7,11.8,1.0,2.9,81.0
4,78.7,178.0,71.6,1.5,8.3,4.9,5.5,75.0
5,88.2,192.0,54.3,1.8,0.4,2.1,8.0,87.5
6,84.1,180.0,91.6,4.3,2.2,0.2,6.0,86.8
7,76.8,185.0,127.9,2.6,21.0,1.7,3.7,69.4
8,92.1,191.0,68.0,1.9,17.8,5.1,7.1,86.1
9,79.0,164.0,118.1,3.7,0.5,1.2,6.1,77.8
10,84.9,190.0,94.3,2.0,7.7,5.1,6.4,82.1
11,85.1,213.0,86.4,1.9,3.1,4.8,10.1,83.3
12,78.0,167.0,106.6,0.7,14.0,1.0,7.9,72.3
13,76.5,181.0,57.3,3.0,14.0,1.0,6.3,74.6
14,80.7,176.0,107.1,1.9,0.5,4.0,5.3,80.0
15,81.1,191.0,109.1,1.7,11.0,0.7,4.9,78.6
16,91.6,175.0,78.4,1.6,13.5,5.0,12.7,86.8
17,74.9,191.0,125.6,1.8,16.8,4.8,4.6,67.5
18,81.0,178.0,117.4,4.6,20.5,1.3,3.7,79.0
19,80.6,175.0,85.7,3.6,12.3,4.5,1.0,80.2
20,98.1,162.0,60.9,3.4,2.6,4.0,7.9,98.5
21,77.8,178.0,97.9,3.3,16.7,3.5,9.6,72.9
22,72.4,170.0,127.1,3.0,14.3,5.7,9.7,67.3
23,86.7,185.0,51.9,1.8,0.5,5.3,8.5,84.8
24,82.3,180.0,84.3,4.1,0.7,3.0,13.7,83.6
25,73.1,171.0,121.9,4.1,4.5,5.6,2.4,71.2
26,68.3,190.0,81.8,1.6,20.0,0.3,5.4,64.9
27,82.5,179.0,122.9,1.2,11.6,5.7,7.6,77.5
28,72.6,159.0,105.5,2.2,18.5,5.6,9.9,62.9
29,89.4,189.0,63.7,1.8,2.8,2.3,5.9,87.9
30,76.6,184.0,56.9,2.4,3.4,4.6,5.1,75.5
31,78.1,201.0,87.1,3.5,2.4,4.9,8.5,79.1
32,79.3,169.0,127.7,1.6,16.5,1.5,8.5,72.7
33,101.0,174.0,103.9,2.4,0.5,5.2,10.7,99.5
34,81.9,162.0,87.9,1.8,18.5,5.1,11.0,80.3
35,74.0,176.0,79.5,3.9,21.7,4.3,8.2,71.5
36,85.5,208.0,129.9,1.2,3.8,4.5,4.0,83.1
37,85.3,204.0,72.9,1.2,0.3,1.5,8.9,85.0
38,94.1,176.0,97.0,3.0,1.8,1.3,5.6,93.6
39,94.2,192.0,98.5,1.2,17.1,2.2,7.9,89.7
40,79.6,177.0,81.3,1.2,13.0,2.0,8.2,76.8
41,91.0,178.0,137.6,3.5,9.6,2.1,8.3,88.9
42,86.4,174.0,99.9,0.9,11.9,4.2,2.3,81.2
43,69.6,177.0,105.5,4.6,20.7,2.9,1.8,63.4
44,84.1,170.0,70.3,3.9,5.0,0.8,8.1,85.0
45,78.5,177.0,105.8,2.5,13.8,4.4,11.0,73.2
46,93.8,184.0,96.8,3.4,4.0,4.4,4.8,94.4
47,76.6,179.0,123.3,1.6,7.1,0.4,13.6,73.7
