genetic;length;mass;exercise;smoking;alcohol;lifespan;sugar;labels
73.9;185.0;99.7;0.9;0.0;2.4;73.1;6.9;0
86.0;172.0;105.4;1.8;8.1;0.4;85.0;4.2;0
83.3;176.0;111.4;1.1;0.8;4.6;81.6;7.5;0
82.8;164.0;111.4;4.7;11.8;1.0;81.0;2.9;0
78.7;178.0;71.6;1.5;8.3;4.9;75.0;5.5;0
88.2;192.0;54.3;1.8;0.4;2.1;87.5;8.0;0
84.1;180.0;91.6;4.3;2.2;0.2;86.8;6.0;0
76.8;185.0;127.9;2.6;21.0;1.7;69.4;3.7;0
92.1;191.0;68.0;1.9;17.8;5.1;86.1;7.1;0
79.0;164.0;118.1;3.7;0.5;1.2;77.8;6.1;0
84.9;190.0;94.3;2.0;7.7;5.1;82.1;6.4;0
85.1;213.0;86.4;1.9;3.1;4.8;83.3;10.1;0
78.0;167.0;106.6;0.7;14.0;1.0;72.3;7.9;0
76.5;181.0;57.3;3.0;14.0;1.0;74.6;6.3;0
80.7;176.0;107.1;1.9;0.5;4.0;80.0;5.3;0
81.1;191.0;109.1;1.7;11.0;0.7;78.6;4.9;0
91.6;175.0;78.4;1.6;13.5;5.0;86.8;12.7;0
74.9;191.0;125.6;1.8;16.8;4.8;67.5;4.6;0
81.0;178.0;117.4;4.6;20.5;1.3;79.0;3.7;0
80.6;175.0;85.7;3.6;12.3;4.5;80.2;1.0;0
98.1;162.0;60.9;3.4;2.6;4.0;98.5;7.9;0
77.8;178.0;97.9;3.3;16.7;3.5;72.9;9.6;0
72.4;170.0;127.1;3.0;14.3;5.7;67.3;9.7;0
86.7;185.0;51.9;1.8;0.5;5.3;84.8;8.5;0
82.3;180.0;84.3;4.1;0.7;3.0;83.6;13.7;0
73.1;171.0;121.9;4.1;4.5;5.6;71.2;2.4;0
68.3;190.0;81.8;1.6;20.0;0.3;64.9;5.4;0
82.5;179.0;122.9;1.2;11.6;5.7;77.5;7.6;0
72.6;159.0;105.5;2.2;18.5;5.6;62.9;9.9;0
89.4;189.0;63.7;1.8;2.8;2.3;87.9;5.9;0
76.6;184.0;56.9;2.4;3.4;4.6;75.5;5.1;0
